name,symbol,price,change_1h,change_24h,change_7d,market_cap,volume_24h,cmc_rank,slug,url
Aptos,APT,0.645714,0.02411435,3.35757246,-1.8585389,537417482.3401228,46750418.54793703,74,aptos,https://coinmarketcap.com/currencies/aptos/
Midnight,NIGHT,0.030733,0.34320002,-5.01655882,-0.76135985,510393683.32130057,10313923.61418698,75,midnight-network,https://coinmarketcap.com/currencies/midnight-network/
Arbitrum,ARB,0.078435,0.06064097,1.51414725,-9.31945448,499068298.8659729,35538581.99716727,76,arbitrum,https://coinmarketcap.com/currencies/arbitrum/
Nexo,NEXO,0.770329,-0.42906903,1.69637964,-7.61568413,497744719.42357326,6684897.01078964,77,nexo,https://coinmarketcap.com/currencies/nexo/
Aerodrome Finance,AERO,0.519402,-0.62907735,0.62851052,4.40971947,495211800.52231,40754496.88369685,78,aerodrome-finance,https://coinmarketcap.com/currencies/aerodrome-finance/
TrueUSD,TUSD,0.998084,-0.01375903,-0.0171755,0.01480659,493567549.12517405,17937092.594728,79,trueusd,https://coinmarketcap.com/currencies/trueusd/
Pump.fun,PUMP,0.001404,-0.08630344,1.77754871,-5.23175278,485098541.93518203,36414215.24220672,80,pump-fun,https://coinmarketcap.com/currencies/pump-fun/
Dash,DASH,35.751359,0.46670849,4.57664357,-3.4885846,455717050.5273019,63999573.19678924,81,dash,https://coinmarketcap.com/currencies/dash/
Injective,INJ,4.512238,-0.22968058,-1.46901047,-16.74540558,451092724.3479029,60227369.3058685,82,injective,https://coinmarketcap.com/currencies/injective/
PancakeSwap,CAKE,1.327068,-0.16991477,0.72139707,-5.01550313,429487387.9336168,20151566.5328403,83,pancakeswap,https://coinmarketcap.com/currencies/pancakeswap/
EURC,EURC,1.135414,-0.05776863,-0.47266176,-2.13621941,428229205.2147863,44664533.72166859,84,euro-coin,https://coinmarketcap.com/currencies/euro-coin/
OFFICIAL TRUMP,TRUMP,1.729782,-0.86512494,-0.36854202,-8.88155805,410673047.7823372,184278450.3357297,85,official-trump,https://coinmarketcap.com/currencies/official-trump/
VeChain,VET,0.004648,-0.08004355,-0.21011901,-7.66209393,399673714.95449126,11637702.78345446,86,vechain,https://coinmarketcap.com/currencies/vechain/
Artificial Superintelligence Alliance,FET,0.174579,-0.29145153,2.56579996,-14.86124837,394357411.3299936,101888017.10040501,87,artificial-superintelligence-alliance,https://coinmarketcap.com/currencies/artificial-superintelligence-alliance/
Pudgy Penguins,PENGU,0.006229,-0.32867853,-0.83006487,-12.52085221,391575189.32493126,49221824.03436406,88,pudgy-penguins,https://coinmarketcap.com/currencies/pudgy-penguins/
Lighter,LIT,1.555864,0.27299188,1.0383978,-12.85534043,388966101.80533177,39634682.8688153,89,lighter,https://coinmarketcap.com/currencies/lighter/
Bonk,BONK,4e-06,0.17372829,0.68670661,-7.17533205,385558724.16713244,23087880.46094706,90,bonk1,https://coinmarketcap.com/currencies/bonk1/
Sei,SEI,0.052616,-0.0402996,0.55314788,-2.85158533,379769758.7889343,24449075.5939386,91,sei,https://coinmarketcap.com/currencies/sei/
Virtuals Protocol,VIRTUAL,0.567054,-0.30610642,1.20771164,-8.6711639,372594197.5840282,34083460.72557094,92,virtual-protocol,https://coinmarketcap.com/currencies/virtual-protocol/
First Digital USD,FDUSD,0.99726,-0.00772936,-0.00865604,-0.04057409,351550563.35472405,138204392.0362533,93,first-digital-usd,https://coinmarketcap.com/currencies/first-digital-usd/
Terra Classic,LUNC,6.3e-05,-0.21262389,-1.58881313,-13.59646618,348433796.70614684,13198504.07638219,94,terra-luna,https://coinmarketcap.com/currencies/terra-luna/
